constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,vote_share_pct_imputed,won,source,source_url,fetched_at,candidate_id
GBA-14,2020,3,Muzaffar Ali,PPP,3473.0,24.69,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,muzaffar-ali
GBA-15,2009,1,Bashir Ahmed,PML-Q,2356.0,100.0,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached,bashir-ahmed
GBA-15,2015,1,Haji Shah Baig,JUI-F,3713.0,34.37,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached,shah-baig
GBA-15,2015,2,Fida Ullah,PPP,3557.0,32.92,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached,fida-ullah
GBA-15,2015,3,Noshad Alam,PTI,3534.0,32.71,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached,noshad-alam
GBA-15,2020,1,Haji Shah Baig,Independent,2779.0,54.62,True,True,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached,shah-baig
GBA-15,2020,2,Muhammad Dilpazir,Independent,2309.0,45.38,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,muhammad-dilpazir
GBA-16,2009,1,Janbaz Khan,PML-N,2403.0,100.0,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,janbaz-khan
GBA-16,2015,1,Janbaz Khan,PML-N,3327.0,21.83,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,janbaz-khan
GBA-16,2015,2,Abdul Aziz,Independent,3109.0,20.4,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,abdul-aziz
GBA-16,2015,3,Attaullah,Independent,2918.0,19.15,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,attaullah
GBA-16,2015,4,Dilbar Khan,PPP,2011.0,13.19,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,dilbar-khan
