candidate_id,name,normalised_name,n_runs,parties,constituencies,dynasty_flag,notes
atta-ur-rehman,Atta-ur-Rehman,atta ur rehman,1,PTI,GBA-20,False,
tariq-hussain,Tariq Hussain,tariq hussain,1,MQM,GBA-2,False,
shukat-alam,Shukat Alam,shukat alam,1,PAT,GBA-2,False,
moulana-mujahid,Moulana Mujahid,moulana mujahid,1,JUI-F,GBA-2,False,
muhammad-mazhar-abbas,Muhammad Mazhar Abbas,muhammad mazhar abbas,1,MWM,GBA-2,False,
parveen-ghazi,Parveen Ghazi,parveen ghazi,1,Independent,GBA-2,False,
muhammad-ibrahim-sanai,Muhammad Ibrahim Sanai,muhammad ibrahim sanai,1,PML-N,GBA-22,False,
muhammad-aziz,Muhammad Aziz,muhammad aziz,1,JUI-F,GBA-21,False,
jamsheed-khan,Jamsheed khan,jamsheed khan,1,APML,GBA-21,False,
jahanzaib,Raja Jahanzaib,jahanzaib,1,PTI,GBA-21,False,
noor-wali-khan,Noor Wali Khan,noor wali khan,1,APML,GBA-20,False,
zuhair-ahmad-khan,Zuhair Ahmad Khan,zuhair ahmad khan,1,MQM,GBA-23,False,
shereen-fatima,Shereen Fatima,shereen fatima,1,PPP,GBA-23,False,
ghulam-hussain,Ghulam Hussain,ghulam hussain,1,PML-N,GBA-23,False,
muhammad-ishaq-saqib,Muhammad Ishaq Saqib,muhammad ishaq saqib,1,MWM,GBA-24,False,
khadim-hussain,Khadim Hussain,khadim hussain,1,PAT,GBA-23,False,
muhammad-ali,Dr Muhammad Ali,muhammad ali,1,MWM,GBA-12,False,
ghulam-muhhamd-parvi,Ghulam Muhhamd Parvi,ghulam muhhamd parvi,1,Independent,GBA-11,False,
ghulam-akbar,Ghulam Akbar,ghulam akbar,1,MWM,GBA-13,False,
kazim-saleem,Kazim Saleem,kazim saleem,1,Independent,GBA-11,False,
akbar-shah,Syed Akbar Shah,akbar shah,1,ITP,GBA-11,False,
niaz-ali,Niaz Ali,niaz ali,1,PPP,GBA-11,False,
kashif-ali,Kashif Ali,kashif ali,1,PPP,GBA-4,False,
muhammad-ali-haidar,Doctor Muhammad Ali Haidar,muhammad ali haidar,1,ITP,GBA-4,False,
capt-rtd-hadi-hussain,Capt(Rtd.) Hadi Hussain,capt(rtd) hadi hussain,1,MQM,GBA-3,False,
saeed-ur-rehman,Saeed Ur Rehman,saeed ur rehman,1,JUI-F,GBA-3,False,
muhammad-shafi-khan,Muhammad Shafi Khan,muhammad shafi khan,1,ITP,GBA-3,False,
allama-nayyar-abbas-mustfavi,Allama Nayyar Abbas Mustfavi,allama nayyar abbas mustfavi,1,MWM,GBA-3,False,
prince-qasim-ali-khan,Prince Qasim Ali Khan,prince qasim ali khan,1,Independent,GBA-5,False,
muhammad-javid,Muhammad Javid,muhammad javid,1,PTI,GBA-4,False,
baba-jan,Baba Jan,baba jan,1,AWP,GBA-6,False,
zafar-iqbal,Zafar Iqbal,zafar iqbal,1,PPP,GBA-6,False,
sheikh-musa-karimi,Sheikh Musa Karimi,sheikh musa karimi,1,MWM,GBA-6,False,
izhar-hunzai,Izhar Hunzai,izhar hunzai,1,PTI,GBA-6,False,
sheikh-mirza-ali,Sheikh Mirza Ali,sheikh mirza ali,1,ITP,GBA-5,False,
muhammad-issa,Muhammad Issa,muhammad issa,1,APML,GBA-5,False,
ghazanfar-ali-khan,Mir Ghazanfar Ali Khan,ghazanfar ali khan,1,PML-N,GBA-6,False,
qalab-ali,Haji Qalab Ali,qalab ali,1,PML-N,GBA-5,False,
zahid-hussain,Zahid Hussain,zahid hussain,1,MWM,GBA-7,False,
gh-shehzad,"Gh, Shehzad Agha","gh, shehzad",1,ITP,GBA-7,False,
jalal-hussain-maqpoon,Raja Jalal Hussain Maqpoon,jalal hussain maqpoon,1,PTI,GBA-7,False,
aman-ullah,Aman Ullah,aman ullah,1,APML,GBA-6,False,
nisar-hussain-sarbaz,Nisar Hussain Sarbaz,nisar hussain sarbaz,1,PPP,GBA-8,False,
kamal-hussain,Kamal Hussain,kamal hussain,1,APML,GBA-7,False,
muhammad-zakir,Muhammad Zakir,muhammad zakir,1,PTI,GBA-8,False,
ghulam-raza-haidri,Ghulam Raza Haidri,ghulam raza haidri,1,PPP,GBA-9,False,
ali-kazim,Ali Kazim,ali kazim,1,PTI,GBA-9,False,
sultan-rais,Maulana Sultan Rais,sultan rais,1,Independent,GBA-1,False,
johar-ali,Johar Ali,johar ali,1,PTI,GBA-1,False,
muhsin-rizvi,Syed Muhsin Rizvi,muhsin rizvi,1,Independent,GBA-11,False,
azam-khan-amacha,Raja Azam Khan Amacha,azam khan amacha,1,PTI,GBA-12,False,
muhammad-tahir,Muhammad Tahir,muhammad tahir,1,PML-N,GBA-12,False,
shamsul-haq,Shamsul Haq,shamsul haq,1,PTI,GBA-14,False,
muzaffar-ali,Muzaffar Ali,muzaffar ali,1,PPP,GBA-14,False,
muhammad-dilpazir,Muhammad Dilpazir,muhammad dilpazir,1,Independent,GBA-15,False,
muhammad-anwar,Muhammad Anwar,muhammad anwar,1,PML-N,GBA-16,False,
malik-kifayat-ur-rehman,Malik Kifayat Ur Rehman,malik kifayat ur rehman,1,Independent,GBA-18,False,
jalal-ali-shah,Pir Jalal Ali Shah,jalal ali shah,1,PPP,GBA-19,False,
jamil-ahmed,Jamil Ahmed,jamil ahmed,1,PPP,GBA-2,False,
nasir,Nasir Mir,nasir,1,PML-Q,GBA-2,False,
ghulam-shah,Ghulam Shah,ghulam shah,1,Independent,GBA-2,False,
habib-ur-rehman,Habib ur Rehman,habib ur rehman,1,JI,GBA-2,False,
ashfaq-hussain,Ashfaq Hussain,ashfaq hussain,1,Independent,GBA-2,False,
nazir-ahmed,Nazir Ahmed,nazir ahmed,1,PTI,GBA-20,False,
nazir-ahmad,Nazir Ahmad,nazir ahmad,1,PTI,GBA-20,False,
m-ayub-shah,M. Ayub Shah,m ayub shah,1,PPP,GBA-21,False,
mushtaq-hussain,Mushtaq Hussain,mushtaq hussain,1,Independent,GBA-22,False,
m-ibrahim-sanai,M. Ibrahim Sanai,m ibrahim sanai,1,PTI,GBA-22,False,
abdul-hameed,Abdul Hameed,abdul hameed,1,Independent,GBA-23,False,
asif-advocate,Asif Advocate,asif advocate,1,Independent,GBA-23,False,
ghulam-ali-haideri,Ghulam Ali Haideri,ghulam ali haideri,1,PPP,GBA-23,False,
shams-ud-din,Syed Shams ud Din,shams ud din,1,PTI,GBA-24,False,
shamsuddin,Syed Shamsuddin,shamsuddin,1,PTI,GBA-24,False,
muhammad-ibrahim,Muhammad Ibrahim,muhammad ibrahim,1,PML,GBA-24,False,
sohail-abbas-shah,Syed Sohail Abbas Shah,sohail abbas shah,1,PTI,GBA-3,False,
zulfiqar-ali-tatu,Zulfiqar Ali Tatu,zulfiqar ali tatu,1,PML-N,GBA-3,False,
sanan-ahmad,Sanan Ahmad,sanan ahmad,1,Independent,GBA-3,False,
muhammad-nafees,Muhammad Nafees,muhammad nafees,1,Independent,GBA-3,False,
akbar-hussain,Maulana Akbar Hussain,akbar hussain,1,PSP,GBA-3,False,
muhammad-ayub,Muhammad Ayub,muhammad ayub,1,ITP,GBA-4,False,
javed-ali-manwa,Javed Ali Manwa,javed ali manwa,1,Independent,GBA-5,False,
abaid-ullah-baig,Abaid Ullah Baig,abaid ullah baig,1,PTI,GBA-6,False,
muhammad-zakaria-khan-maqpoon,Raja Muhammad Zakaria Khan Maqpoon,muhammad zakaria khan maqpoon,1,PTI,GBA-7,False,
zakarya-maqoon,Raja Zakarya Maqoon,zakarya maqoon,1,PTI,GBA-7,False,
muhammad-maisam-kazim,Muhammad Maisam Kazim,muhammad maisam kazim,1,MWM,GBA-8,False,
m-ali-shah,Syed M. Ali Shah,m ali shah,1,PPP,GBA-8,False,
