constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,won,source_url,fetched_at
GBA-5,2009,3,Kalb Ali,Independent,794,14.96,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2009,4,Prince Barkat Ali,Independent,390,7.35,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2009,5,Abdul Karim,MQM,384,7.23,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2009,6,Sajjad Hussian,Independent,111,2.09,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,1,Doctor Rizwan Ali,MWM,2141,29.03,True,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,2,Prince Qasim Ali Khan,Independent,1546,20.97,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,3,Haji Qalab Ali,PML-N,1376,18.66,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,4,Zulfiqar Ali Murad,PPP,1304,17.68,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,5,Mirza Hussain,PTI,1001,13.57,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,6,Sheikh Mirza Ali,ITP,5,0.67,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2015,7,Muhammad Issa,APML,1,0.01,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2020,1,Javed Ali Manwa,Independent,2570,,True,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-6,2009,1,Wazir Baig,PPPP,5270,28.79,True,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2009,2,Kamil Jan,MQM,4124,22.09,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2009,3,Noor Muhammad,Independent,3703,19.84,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2009,4,Prince Sher Yar Khan,PML-N,1360,7.86,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2009,5,Arif Hussain,Independent,1098,5.89,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2009,6,Rehmatullah Baig,PML (Q),734,3.93,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2009,7,Raja Shahbaz Khan,Independent,539,2.89,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2015,1,Mir Ghazanfar Ali Khan,PML-N,8245,40.01,True,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2015,2,Baba Jan,Awami Workers Party (AWP),4641,22.55,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2015,3,Zafar Iqbal,PPPP,3501,17.49,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2015,4,Izhar Hunzai,PTI,2291,11.13,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2015,5,Sheikh Musa Karimi,MWM,1041,5.06,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2015,6,Aman Ullah,APML,254,1.23,False,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-6,2020,1,Abaid Ullah Baig,Pakistan Tehreek-e-Insaf,5624,,True,https://en.wikipedia.org/wiki/GBA-6_Hunza,cached
GBA-7,2009,1,Syed Mehdi Shah,PPPP,6997,62.98,True,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2009,2,Prince Sher Yar Khan,PML-Q,1360,12.24,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2009,3,Raja Zikria Maqpoon,MQM,1276,11.49,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2009,4,Fida Muhammad Nishad,Independent,307,2.76,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2015,1,M. Akbar Khan,PML-N,3331,28.48,True,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2015,2,Raja Jalal Hussain Maqpoon,PTI,3330,28.47,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2015,3,Syed Mehdi Shah,PPPP,2693,23.02,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2015,4,"Gh, Shehzad Agha",ITP,925,7.91,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2015,5,Zahid Hussain,MWM,713,6.09,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
